what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360510922452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360510923872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360510924378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360510928696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360510943728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360510949014
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1360511048979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511068983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1360511069003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511077775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511079305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511080542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360511089590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511120367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1360511120388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511144637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511162339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511170740
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1360511242441
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360511252113
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1360511260382
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360511261974
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1360511277936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1360511279835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511296411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1360511296442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360511308613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511308922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360511314240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511320288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511320440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511479696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511494795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511544746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1360511544764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511568271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511629234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511694794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511706541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1360511706563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511722526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511725281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511727001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511727396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511730004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511733037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511756365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511789282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1360511789300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511801273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511803101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511804732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511805112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511825328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511854924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1360511854943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511872405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511874257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511875530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511876757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511889808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511926113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1360511926132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511944492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360511946314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511962624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1360511962644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511982887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360511983963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360511994305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1360511994323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360512043915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360512054489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360512135451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1360512135469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360512138420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360512140367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360512140521
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findIncremental",1360512155508
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findIncremental",1360512156296
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findIncremental",1360512156749
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findIncremental",1360512157077
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findIncremental",1360512158021
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findIncremental",1360512162408
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findIncremental",1360512163321
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1360512205550
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1360512217628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360512252059
